  1 This software and database is being provided to you, the LICENSEE, by  
  2 Princeton University under the following license.  By obtaining, using  
  3 and/or copying this software and database, you agree that you have  
  4 read, understood, and will comply with these terms and conditions.:  
  5   
  6 Permission to use, copy, modify and distribute this software and  
  7 database and its documentation for any purpose and without fee or  
  8 royalty is hereby granted, provided that you agree to comply with  
  9 the following copyright notice and statements, including the disclaimer,  
  10 and that the same appear on ALL copies of the software, database and  
  11 documentation, including modifications that you make for internal  
  12 use or for distribution.  
  13   
  14 WordNet 3.0 Copyright 2006 by Princeton University.  All rights reserved.  
  15   
  16 THIS SOFTWARE AND DATABASE IS PROVIDED "AS IS" AND PRINCETON  
  17 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES, EXPRESS OR  
  18 IMPLIED.  BY WAY OF EXAMPLE, BUT NOT LIMITATION, PRINCETON  
  19 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES OF MERCHANT-  
  20 ABILITY OR FITNESS FOR ANY PARTICULAR PURPOSE OR THAT THE USE  
  21 OF THE LICENSED SOFTWARE, DATABASE OR DOCUMENTATION WILL NOT  
  22 INFRINGE ANY THIRD PARTY PATENTS, COPYRIGHTS, TRADEMARKS OR  
  23 OTHER RIGHTS.  
  24   
  25 The name of Princeton University or Princeton may not be used in  
  26 advertising or publicity pertaining to distribution of the software  
  27 and/or database.  Title to copyright in this software, database and  
  28 any associated documentation shall at all times remain with  
  29 Princeton University and LICENSEE agrees to preserve same.  
aardwolves aardwolf
abaci abacus
abscissae abscissa
acanthi acanthus
acari acarus
acciaccature acciaccatura
acetabula acetabulum
aciculae acicula
acini acinus
acre-feet acre-foot
acromia acromion
actiniae actinia
actinozoa actinozoan
addenda addendum
adenocarcinomata adenocarcinoma
adenomata adenoma
adieux adieu
aecia aecium
agnomina agnomen
agones agon
agorae agora
agouties agouti
aides-de-camp aide-de-camp
aides-memoire aide-memoire
alae ala
alewives alewife
alkalies alkali
alluvia alluvium
altocumuli altocumulus
altostrati altostratus
alulae alula
alumnae alumna
alumni alumnus
alveoli alveolus
amanuenses amanuensis
ambulacra ambulacrum
amebae ameba
amici_curiae amicus_curiae
amnia amnion
amniocenteses amniocentesis
amoebae amoeba
amoebiases amoebiasis
amoraim amora
amphimixes amphimixis
amphioxi amphioxus
amphisbaenae amphisbaena
amphorae amphora
ampullae ampulla
amygdalae amygdala
anacolutha anacoluthon
analyses analysis
anamneses anamnesis
anamorphoses anamorphosis
anastomoses anastomosis
androecia androecium
angelfishes angelfish
angiomata angioma
animalcula animalculum
anlagen anlage
annuli annulus
antefixa antefix
antennae antenna
antheridia andtheridia antheridium
anthozoa anthozoan
anthraces anthrax
antiheroes antihero
antisera antiserum
antitheses antithesis
antra antrum
anus anus
aortae aorta
aphelia aphelion
aphides Aphis
apices apex
apomixes apomixis
aponeuroses aponeurosis
apophyses apophysis
aposiopeses aposiopesis
apothecia apothecium
apotheoses apotheosis
apparatus apparatus
appendices appendix
appoggiature appoggiatura
apsides apsis
aquae aqua
aquaria aquarium
arboreta arboretum
arcana arcanum
archegonia archegonium
archerfishes archerfish
archesporia archesporium
archipelagoes archipelago
arcs-boutants arc-boutant
areolae areola
argali araglis argali
ariette arietta
aristae arista
armamentaria armamentarium
artel artal rotl
arterioscleroses arteriosclerosis
asceses ascesis
asci ascus
ashes ash
ashkenazim Ashkenazi
aspergilli Aspergillus
aspergilloses aspergillosis
aspersoria aspersorium
assegais assagai
assegais assegai
astragali astragalus
asyndeta asyndeton
atheromata atheroma
atheroscleroses atherosclerosis
atria atrium
auditoria auditorium
aurae aura
aurar eyrir
auriculae auricula
aurorae aurora
auspices auspex
auspices auspice
autocatalyses autocatalysis
autochthones autochthon
automata automaton
autos-da-fe auto-da-fe
avitaminoses avitaminosis
axes ax
axes axis
axillae axilla
bacchantes bacchant
bacchantes bacchante
bacilli bacillus
bacteriostases bacteriostasis
bains-marie bain-marie
ballistae ballista
bambini bambino
bandeaux bandeau
banditti bandit
bani ban
banjoes banjo
barramundies barramundi
bases base
bases basis
bases_on_balls bases-on-balls base_on_balls
basidia basidium
basileis basileus
bassi basso
bastinadoes bastinado
batfishes batfish
beadsmen beadsman
beadsmen bedesman
beaux beau
beeves beef
bibliothecae bibliotheca
bicennaries bicentenary
bicennaries bicentennial
bijoux bijou
billfishes billfish
bimboes bimbo
blackfeet Blackfoot
blackfishes blackfish
blastemata blastema
blastulae blastula
blowfishes blowfish
bluefishes bluefish
boarfishes boarfish
boleti Boletus
bolivares bolivar
bolsheviki Bolshevik
bonefishes bonefish
bongoes bongo
bonitoes bonito
booklice booklouse
bookshelves bookshelf
boraces borax
box-kodaks box_Kodak
boxfishes boxfish
brachia brachium
brainchildren brainchild
branchiae branchia
brants brant
brants brent
bravadoes bravado
bravoes bravo
bregmata bregma
brethren brother
broadcast_media broadcast_medium
bronchi bronchus
brothers-in-law brother-in-law
bryozoa bryozoan
buboes bubo
buckteeth bucktooth
buffaloes buffalo
bullae bulla
bureaux bureau
bureaux_de_change bureau_de_change
bursae bursa
busses bus
butterfishes butterfish
byssi byssus
cacti cactus
caducei caduceus
caeca caecum
caesurae caesura
calami calamus
calcanei calcaneus
calces calx
calculi calculus
calicoes calico
calli callus
calves calf
